ο	ο articlem sg<br>(definite) the
χρώμα	χρώμα noun<br>colour (UK), color (US)<br>paint<br>complexion
άλλωστε	άλλωστε adverb<br>besides
πού	πού adverb<br>(interrogative) where
παρελθόν	παρελθόν nounn<br>past, time past<br>(figuratively derogatory) a past full of sexual experience
καθένας	καθένας pronounm  universal or indefinite<br>each, each one (separately)<br>everyone, everybody
αστυνομικός	αστυνομικός noun<br>policeman
φέτος	φέτος adverb<br>this year
αρέσω	αρέσω verb<br>(intransitive) be liked by somebody
μα	μα conjunction<br>but
συμφωνώ	συμφωνώ verb<br>agree, agree with<br>correspond, match<br>accord with, in harmony with, consistant with
ορίζω	ορίζω verb<br>define, designate<br>decide<br>arrive, reach
επιστημονικός	επιστημονικός adjective<br>scientific
μήνυμα	μήνυμα noun<br>message<br>email; text, SMS<br>(figuratively) message
τεχνολογία	τεχνολογία noun<br>technology
υπεύθυνος	υπεύθυνος adjective<br>responsible
βράδυ	βράδυ adverb<br>at night, by night, nightly<br><br>βράδυ noun<br>evening (period between sunset and full dark)<br>(by extension) night, evening (period between sunset and sunrise)
στέλεχος	στέλεχος noun<br>official<br>counterfoil (of cheque etc)<br>(botany) stalk, stem
κρατικός	κρατικός adjective<br>state, government
συνέπεια	συνέπεια noun<br>consequence<br>consistency
συμπεριφορά	συμπεριφορά noun<br>behaviour (UK), behavior (US)<br>attitude
δουλεύω	δουλεύω verb<br>work<br>(figuratively) pull somebody's leg
συζητάω	συζητάω verb<br>Alternative form of συζητώ (syzitó)
ψυχή	ψυχή noun<br>(religion, folklore, also figuratively) soul, spirit (essence of a person (or place or thing figuratively) usually thought to consist of one's thoughts and personality)<br>(insects) butterfly<br>(music) sound post (of a string instrument, e.g. the violin)
περιορίζω	περιορίζω verb<br>(transitive) confine, restrict, curb<br>(transitive) limit<br>(transitive) restrain
ευρύς	ευρύς adjective<br>wide
αμέσως	αμέσως adverb<br>immediately, at once, straight away<br><br>αμέσως interjection<br>Right away!
αντίστοιχος	αντίστοιχος adjective<br>corresponding, respective
ισχύω	ισχύω verb<br>be valid, be in effect<br>have validity, have power
κατάλληλος	κατάλληλος adjective<br>appropriate, suitable, fit, right
έννοια	έννοια noun<br>concept, meaning, essential features<br><br>έννοια noun<br>Alternative form of έγνοια (égnoia, “care, concern”)
οπότε	οπότε conjunction<br>so<br>therefore, consequently
άμεσα	άμεσα adverb<br>immediately, at once, straight away
μέσος	μέσος adjective<br>middle, mid<br>average, mean<br>compromise<br><br>μέσος noun<br>average, median<br>(soccer) midfielder<br>middle finger<br>middle toe
ρωτώ	ρωτώ verb<br>Alternative form of ρωτάω (rotáo)
τελειώνω	τελειώνω verb<br>finish, complete, end<br>dismiss
ρίχνω	ρίχνω verb<br>drop (anchor)<br>drop, lower (price)<br>shed (a load)<br>throw<br>knock over<br>shoot down<br>sprinkle, strew
αποφεύγω	αποφεύγω verb<br>avoid (keep away from)<br>shun, avoid (doing something)
διοικητικός	διοικητικός adjective<br>administrative, managerial<br><br>διοικητικός noun<br>administrator
επικοινωνία	επικοινωνία noun<br>communication (between two people, machines, etc)
κυριακή	κυριακή adjective<br>Nominative, accusative and vocative singular feminine form of κυριακός (kyriakós). (in expressions):
συγκεκριμένα	συγκεκριμένα adjective<br>Nominative plural neuter form of συγκεκριμένος (sygkekriménos).<br>Accusative plural neuter form of συγκεκριμένος (sygkekriménos).<br>Vocative plural neuter form of συγκεκριμένος (sygkekriménos).
υποψήφιος	υποψήφιος adjective<br>prospective<br><br>υποψήφιος noun<br>(politics) candidate (in election or for position)
απόλυτα	απόλυτα adverb<br>absolutely<br><br>απόλυτα adjective<br>Nominative plural neuter form of απόλυτος (apólytos).<br>Accusative plural neuter form of απόλυτος (apólytos).<br>Vocative plural neuter form of απόλυτος (apólytos).
παιδεία	παιδεία noun<br>education (the teaching and training of the child, compare with εκπαίδευση)<br>learning, culture
εύκολος	εύκολος adjective<br>easy
μεταφορά	μεταφορά noun<br>(rhetoric) metaphor<br>transport, transportation
άσκηση	άσκηση noun<br>drill, exercise, practice (UK), practise (US)
τοποθετώ	τοποθετώ verb<br>I position
πρωτοβουλία	πρωτοβουλία noun<br>initiative
παρασκευή	παρασκευή noun<br>preparation
μήπως	μήπως conjunction<br>if, by any chance, perhaps<br>as if, didn't? (forming rhetorical questions that indicate the opposite of the question is true)<br>in case, for fear that, lest
σχολή	σχολή nounf<br>faculty (division of institutions of higher education)
έντονος	έντονος adjective<br>strong, powerful<br>severe, intense<br>full-bodied
ταμείο	ταμείο noun<br>cash desk, checkout, cashier's desk<br>box office, ticket office
ύψος	ύψος noun<br>(mathematics) height (distance from bottom to top)<br>(geography) altitude, elevation
ερώτημα	ερώτημα noun<br>question (topic under discussion)
φαινόμενο	φαινόμενο noun<br>phenomenon
παράδοση	παράδοση noun<br>delivery (of goods, parcels, etc)<br>tradition<br>(military) surrender<br>(education) lecture
αρμόδιος	αρμόδιος adjective<br>competent, qualified (having sufficient skill, knowledge or ability)<br>in charge, responsible (answerable for an act performed or for its consequences)
μαύρος	μαύρος adjective<br>(colour) black<br>gloomy, dark, grim<br>depressed, miserable<br>grim, terrible, evil<br>(typography) bold
εσωτερικός	εσωτερικός adjective<br>internal, inside, inner<br>inland<br>domestic (not foreign)
κινώ	κινώ verb<br>move, start, arouse
αναγνωρίζω	αναγνωρίζω verb<br>recognise (UK), recognize (US),
εγκατάσταση	εγκατάσταση noun<br>installation, establishment (act of installing)<br>residence (permission to reside)<br>installation (large equipment)<br>installation, settlement, establishment (set of buildings)<br>(art) installation
καρδιά	καρδιά noun<br>(anatomy) heart
επίσημος	επίσημος adjective<br>formal, official, authoritative, formal, relating to office or position.
τούτος	τούτος determiner<br>(formal) this, this one, that
δυτικός	δυτικός adjective<br>west, westward, westerly, western<br><br>δυτικός noun<br>westerner
πράσινος	πράσινος adjective<br>green (colour of growing foliage)<br>(figuratively, of plants and fruit) green, unripe (not ready to be picked)<br>(figuratively) green (environmentally friendly)
αξίζω	αξίζω verbfound only in the present and imperfect tenses<br>cost
υποχρέωση	υποχρέωση noun<br>(law) obligation, duty, responsibility, liability
άνω	άνω adverb<br>upper, over
εύκολα	εύκολα adjective<br>Nominative, accusative and vocative plural neuter form of εύκολος (éfkolos).<br><br>εύκολα adverb<br>readily; easily
καταλαβαίνω	καταλαβαίνω verb<br>understand, realise
επαφή	επαφή noun<br>touch, contact<br>electrical contact
ματς	ματς noun<br>(sports) match (usually football match)
όργανο	όργανο noun<br>(medicine, anatomy) body organ<br>(music) any musicalinstrument<br>equipment, appliance<br>(informal appellative or vocative for policeman) officer
καταθέτω	καταθέτω verb<br>register, submit, lodge, file, hand in<br>(finance) deposit<br>(law) testify, give evidence
κρύβω	κρύβω verb<br>hide, cover
μάχη	μάχη noun<br>(military) battle, combat<br>fight, struggle
εξηγώ	εξηγώ verb<br>clarify, explain, illustrate
πρωί	πρωί noun<br>morning
σταθμός	σταθμός noun<br>(transport) station, terminus, terminal (bus, railway)<br>station, facility, centre
ειδικά	ειδικά adverb<br>especially, particularly<br><br>ειδικά adjective<br>Nominative, accusative and vocative plural neuter form of ειδικός (eidikós).
πιθανός	πιθανός adjective<br>probable, likely
αγοράζω	αγοράζω verb<br>buy, purchase
συγγραφέας	συγγραφέας noun<br>writer, author
επηρεάζω	επηρεάζω verb<br>influence
ερώτηση	ερώτηση noun<br>question (sentence asking for information)
εξασφαλίζω	εξασφαλίζω verb<br>ensure, secure, obtain
συνδυασμός	συνδυασμός nounm<br>combination<br>match (fit together, or make suitable for fitting together)
γνώμη	γνώμη noun<br>opinion, perception (subjective thought)
αντίδραση	αντίδραση noun<br>reaction, response<br>(medicine, physics, psychology) reaction (response to action or stimulus)<br>(chemistry) reaction (between materials)
κυκλοφορώ	κυκλοφορώ verb<br>(media) publish, issue, circulate, release(book, newspaper, etc)<br>circulate, go around<br>be around, be available<br>drive around (in a car, etc)
αντίθετα	αντίθετα adverb<br>on the contrary, contrariwise<br><br>αντίθετα adjective<br>Nominative, accusative and vocative singular neuter form of αντίθετος (antíthetos).<br><br>αντίθετα nounn<br>Nominative, accusative and vocative plural form of αντίθετο (antítheto).
ανά	ανά preposition<br>per
άδεια	άδεια noun<br>permission<br>leave of absence<br>permit<br>licence (UK, Australasia, Canada), license (US)<br><br>άδεια adjective<br>Nominative, accusative and vocative singular feminine form of άδειος (ádeios).<br>Nominative, accusative and vocative plural neuter form of άδειος (ádeios).
επισκέπτομαι	επισκέπτομαι verb<br>visit (to go and meet or see)
χαρά	χαρά noun<br>joy, pleasure
προέρχομαι	προέρχομαι verb<br>originate, spring from, come from
πρώτα	πρώτα adverb<br>first<br>in the old days<br><br>πρώτα adjective<br>Nominative, accusative and vocative plural neuter form of πρώτος (prótos).
καθημερινός	καθημερινός adjective<br>daily, every day<br>everyday, ordinary, workaday, commonplace<br>working day
μέθοδος	μέθοδος noun<br>method, system<br>fashion
νομικός	νομικός adjective<br>(law) pertaining to the law, legal
ψάχνω	ψάχνω verb<br>look for, hunt for, search, rummage
δημοσιεύω	δημοσιεύω verb<br>publish, print
ωραίος	ωραίος adjective<br>good, fine, nice<br>beautiful, pretty, lovely, handsome
πνευματικός	πνευματικός adjective<br>mental (relating to the mind)<br>ghostly<br>pneumatic<br>spiritual
ιστοσελίδα	ιστοσελίδα noun<br>(Internet) web page
κύκλος	κύκλος noun<br>(geometry) circle<br>period, cycle<br>series, cycle<br>clique, coterie, circle, set (of people)<br>(sports) circuit, course, track<br>(education) course<br>(business) turnover
ελευθερία	ελευθερία noun<br>freedom, liberty
θεραπεία	θεραπεία noun<br>(medicine) cure, therapy, remedy
πλούσιος	πλούσιος adjective<br>rich, wealthy, luxuriant
πίεση	πίεση noun<br>(physics) pressure<br>pressure, stress (mental)
θάλασσα	θάλασσα noun<br>sea<br>sea (all the seas and oceans)<br>storm
όμορφος	όμορφος adjective<br>beautiful, pretty, handsome (especially of objects, pictures etc)
διαμορφώνω	διαμορφώνω verb<br>mould, arrange, form, give form to<br>train, form (in religious faith)
έτοιμος	έτοιμος adjective<br>ready, prepared
ενισχύω	ενισχύω verb<br>strengthen, support, reinforce<br>reinforce, buttress, prop up (building)<br>(figuratively) encourage
ανάλογα	ανάλογα adverb<br>proportionally, proportionately
βαθύς	βαθύς adjective<br>deep (downward or sometimes inward)<br>(figuratively) deep, dark (of shades and colours)<br>(figuratively) profound, deep
επένδυση	επένδυση noun<br>coating<br>investment
εξέταση	εξέταση noun<br>examination, investigation (of plans, accounts, objects, etc)<br>(education) examination, exam<br>(law) examination (of witness)<br>(medicine) examination (of patient)
εμπορικός	εμπορικός adjective<br>commercial, trade<br>(derogatory): of low quality
πας	πας pronoun<br>(archaic, only in set phrases) every, any<br>(archaic, only in set phrases) whole, all<br><br>πας verb<br>2nd person singular present form of πάω (páo).<br>2nd person singular dependent form of πάω (páo).<br>2nd person singular dependent form of πηγαίνω (pigaíno).
ελέγχω	ελέγχω verb<br>question, check, test<br>control, check, monitor<br>audit
παραδοσιακός	παραδοσιακός adjective<br>traditional
αστικός	αστικός adjective<br>urban, civic
ρυθμός	ρυθμός noun<br>(music) rhythm (music, dance, poetry, etc)<br>rate, pace<br>(figuratively, architecture) style
ύπαρξη	ύπαρξη noun<br>existence (the state of being, existing, or occurring)<br>a creature, a human being; mainly a beautiful girl or woman
καλοκαίρι	καλοκαίρι noun<br>summertime, summer
δυναμικός	δυναμικός adjective<br>dynamic, powerful, forceful
μυαλό	μυαλό noun<br>(anatomy) brain<br>(plural) brains (used as food)<br>brain (person providing interlectual input)<br>mind<br>head
πολιτιστικός	πολιτιστικός adjective<br>cultural
ξανά	ξανά adverb<br>again
ζώο	ζώο noun<br>(zoology) mammal<br>animal, beast, creature<br>brute, stupid (used as derogatory interjection)
ενδιαφέρω	ενδιαφέρω verbfound only in the present and imperfect tenses<br>(transitive) interest
εξ	εξ preposition<br>Alternative form of εκ (ek) (used before a vowel)
μητέρα	μητέρα noun<br>mother<br>(figuratively) mother (the first example of something)<br>(figuratively, colloquial) mother (something that is the greatest of its kind)
αμερικάνικος	αμερικάνικος adjective<br>Alternative form of αμερικανικός (amerikanikós)
φόρος	φόρος noun<br>tax (payment levied by the state)<br>tribute (payment in cash or kind levied on a state or individual)
αναζητώ	αναζητώ verb<br>look for, seek, search for<br>rummage<br>pursue<br>long for
ικανότητα	ικανότητα noun<br>ability, capacity, capability, competence, faculty, proficiency
προϋπόθεση	προϋπόθεση noun<br>presupposition<br>condition, prerequisite<br>(logic) premise
πελάτης	πελάτης noun<br>customer, client, patient<br>patron, customer, guest (of hotel, cafe, etc)
οδός	οδός noun<br>street, road, way
κόβω	κόβω verb<br>cut, chop, divide, carve, slice (into parts)<br>cut, trim, prune (reduce by cutting)<br>take a shortcut, cut<br>cut (pack of playing cards)<br>cut, quit (cigarettes, gambling)<br>drop-out, quit (school, course)<br>strike, mint (coins and medals)<br>interrupt, cut short, cut off (conversation)<br>separate, (for sauces etc.)
αγροτικός	αγροτικός adjective<br>agrarian<br>relating to a farm or farmer<br>rural, relating to the countryside
πιάνω	πιάνω verb<br>hold, catch<br>catch (a ball, etc)<br>touch<br>(related to a place) rent<br>(related to a place) occupy, fill
απόδοση	απόδοση noun<br>(grammar) apodosis
σκηνή	σκηνή noun<br>(Ancient Greek theatre) skene<br>(theater) scene, stage<br>tent
στέκω	στέκω verbfound only in the imperfective tenses<br>(intransitive, colloquial, literature) stand up, stand still<br>(intransitive, 3rd person) be true, be correct<br>(intransitive, impersonal) see στέκει
σκληρός	σκληρός adjective<br>hard<br>fierce, rough, cruel, harsh
φωνή	φωνή noun<br>voice, sound<br>(music) voice, note<br>(grammar, linguistics) voice
ανώτερος	ανώτερος adjective<br>higher, upper (physical position)<br>senior, superior, top (rank, social position)<br>higher, superior, advanced (quality, qualification)
εργάζομαι	εργάζομαι verb<br>work
αποστολή	αποστολή noun<br>dispatch, consignment (process of sending something)<br>mission, expedition, errand
πολιτεία	πολιτεία noun<br>state<br>city, place<br>government, republic<br>body politic, polity
μισθός	μισθός noun<br>salary, pay, wage
χρυσός	χρυσός noun<br>(chemistry) gold (metal element)<br>(synecdoche) money, currency, cash<br>(figuratively) wealth, riches<br><br>χρυσός adjective<br>golden, gold<br>(figuratively) handsome, lovely<br>(figuratively) good-hearted<br>(figuratively) dear, lovable
άρα	άρα adverb<br>therefore, consequently, accordingly, so
λογαριασμός	λογαριασμός noun<br>bill (UK); tab, check (US) (account at restaurant, etc)<br>invoice, account<br>account (at bank, with company, etc)<br>financial report
αστυνομία	αστυνομία noun<br>police (law enforcement)<br>police force (the police collectively)
αποκαλύπτω	αποκαλύπτω verb<br>reveal, expose, uncover
δίπλα	δίπλα adverb<br>next, next to, beside<br>side-by-side, abreast<br><br>δίπλα noun<br>(clothing) pleat, fold<br>(cooking) puff pastry<br>(cooking, in the plural) diples, rolled pastry dessert
πνεύμα	πνεύμα noun<br>spirit, the (soul)<br>spirit, the immaterial element of human being in contrast to the body<br>spirit (a spiritual being)<br>spirit (the special character or meaning of something)<br>humor: κάνω πνεύμα: I tell a joke<br>(grammar) a diacritic used in the polytonic writing system of Greek language indicating a smooth or rough breathing
εξωτερικό	εξωτερικό noun<br>overseas<br>exterior<br>(television) outside, external<br><br>εξωτερικό adjective<br>Accusative singular masculine form of εξωτερικός (exoterikós).<br>Nominative, accusative and vocative singular neuter form of εξωτερικός (exoterikós).
φάρμακο	φάρμακο noun<br>(pharmacology, medicine) medicine (healing substance)
παράσταση	παράσταση noun<br>performance<br>presentation<br>representation
γκολ	γκολ noun<br>(soccer) goal
παρακάτω	παρακάτω adverb<br>further down
ονομάζω	ονομάζω verb<br>give a name to, call by name, name<br>pronounce, formally declare
μέγεθος	μέγεθος noun<br>size
κατάστημα	κατάστημα noun<br>(formal): shop, store<br>office (for contact with business etc)
εναντίον	εναντίον adverb<br>(+genitive) against, versus
ταξίδι	ταξίδι noun<br>trip, journey, voyage
δημοσιογράφος	δημοσιογράφος noun<br>journalist, reporter
πληθυσμός	πληθυσμός noun<br>population
μηχανισμός	μηχανισμός noun<br>mechanism<br>machine
θέατρο	θέατρο noun<br>theatre (UK), theater (US)
αίμα	αίμα noun<br>(medicine) blood
περιγράφω	περιγράφω verb<br>write an account, describe<br>describe, give an account of (orally)
δευτέρα	δευτέρα adjective<br>(learned) Nominative singular feminine form of δεύτερος (défteros).<br>(learned) Accusative singular feminine form of δεύτερος (défteros).<br>(learned) Vocative singular feminine form of δεύτερος (défteros).
γρήγορα	γρήγορα adverb<br>quickly, fast<br>soon<br><br>γρήγορα adjective<br>Nominative, accusative and vocative plural neuter form of γρήγορος (grígoros).
κτίριο	κτίριο noun<br>building
κλάδος	κλάδος noun<br>(horticulture) branch, bough<br>branch of organisation<br>(biology) clade
καταστροφή	καταστροφή noun<br>disaster, catastrophe<br>destruction
καταγράφω	καταγράφω verb<br>register, list<br>minute (to write minutes)
συγκεντρώνω	συγκεντρώνω verb<br>gather, collect, bring together<br>centralise (UK), centralize (US),
ανάλυση	ανάλυση noun<br>analysis, interpretation<br>(linguistics) parsing
εφόσον	εφόσον conjunction<br>as long as
παράγω	παράγω verb<br>produce, generate
κανόνας	κανόνας noun<br>(religion) canon, books of the bible<br>(music) canon, round<br>canon, rule, regulations
πρόσφατος	πρόσφατος adjectivem<br>recent
φοιτητής	φοιτητής noun<br>undergraduate, university student
αισθάνομαι	αισθάνομαι verb<br>feel<br>sense
μισός	μισός adjective<br>half
ίδρυμα	ίδρυμα noun<br>institution, foundation, institute
καθεστώς	καθεστώς noun<br>regime<br>status quo
διεύθυνση	διεύθυνση noun<br>management, direction, organisation (of business, organisation, etc)<br>home address, abode<br>direction of travel
δικαστήριο	δικαστήριο noun<br>(law) court
επιθυμώ	επιθυμώ verb<br>desire, want, wish<br>long for, pine for
προσοχή	προσοχή interjection<br>attention, be careful, watch out<br>(military) attention (drill order)<br><br>προσοχή noun<br>attention, focus<br>attention, care<br>(military) attention (upright pose with hands rigidly at side)
καθόλου	καθόλου adverb<br>at all<br>by no means
οικονομικά	οικονομικά nounn pl<br>economics (study)<br><br>οικονομικά adjective<br>Nominative, accusative and vocative plural neuter form of οικονομικός (oikonomikós).
τρέχω	τρέχω verb<br>run, move quickly, sprint<br>flee, run away<br>flow, flow from, run<br>run, execute (a computer or computer program)
όμιλος	όμιλος noun<br>club, association (often relating to a sport)
εκδίδω	εκδίδω verb<br>(printing) publish, issue<br>extradite (to a country)
ασκώ	ασκώ verb<br>(sports, of any dexterity) train, practice, exercise, instruct<br>practice, engage in (profession, avocation)<br>exert, exercise
κέρδος	κέρδος noun<br>profit, gain (material or financial)
μουσείο	μουσείο noun<br>museum
παιδικός	παιδικός adjective<br>belonging or referring to a child, children's<br>childish
βασίζω	βασίζω verb<br>base
βόρειος	βόρειος adjective<br>north, northerly (toward the north, from the north)<br><br>βόρειος noun<br>north wind<br>northerner
διευθυντής	διευθυντής noun<br>manager, director<br>governor, headmaster<br>conductor
αίτημα	αίτημα noun<br>request, demand
ελπίδα	ελπίδα noun<br>hope, expectation
δίκαιο	δίκαιο noun<br>(law) law<br><br>δίκαιο adjective<br>Genitive singular masculine form of δίκαιος (díkaios).<br>Nominative, accusative and vocative singular neuter form of δίκαιος (díkaios).
ανακαλύπτω	ανακαλύπτω verb<br>discover, uncover<br>invent, discover
δοκιμάζω	δοκιμάζω verb<br>(transitive) try, try out<br>(transitive) test<br>(transitive) taste<br>(intransitive) attempt, try
απευθύνω	απευθύνω verb<br>deliver (written or oral)<br>speak to
χτυπάω	χτυπάω verb<br>beat, strike, knock, hit<br>ring (bell etc.)
ναός	ναός noun<br>(religion) place of worship: church, temple, mosque, synagogue
γήπεδο	γήπεδο noun<br>(sports) ground, field, pitch, court, course (piece of land on which a specified sport takes place)<br>(rare) site, ground, plot, strip (open area of land)
μοιάζω	μοιάζω verb<br>(intransitive) look like, resemble, take after (to be like or similar to)<br>(intransitive, with για) look like, take for<br>(intransitive, third person singular, with να) look like, seems like
πλατεία	πλατεία noun<br>town square<br>(theater) the place with seats in front and about the same level as the stage<br>(theater, by extension) people in these seats
απόλυτος	απόλυτος adjective<br>absolute, complete, total<br>(physics) absolute<br>(mathematics) cardinal<br>(grammar) absolute (as in ablative absolute)
στάδιο	στάδιο noun<br>(sports) stadium, sports venue<br>Ancient unit of length (184.9 meters)<br>(nautical) cable (the unit of length = 608 feet = 185m = 1/10 nautical mile)<br>stage (a segment of time, one of a series representing a stage of development)<br>(figuratively) real or virtual space for an activity (stage, theatre)
αίτηση	αίτηση noun<br>request<br>application<br>petition
βία	βία noun<br>violence<br>force<br>bustle, rush
υπέρ	υπέρ adverb<br>for<br><br>υπέρ noun<br>advantages, benefits<br><br>υπέρ preposition<br>(with genitive) for, in support, in favor<br>(with accusative) more than, above
πόρος	πόρος noun<br>(anatomy) pore, duct<br>(plural) resources, (financial) means
εννοώ	εννοώ verb<br>mean, signify<br>understand<br>I am decided, have made up my mind<br>(at 3rd passive persons) it is understood, of course
συνέντευξη	συνέντευξη noun<br>interview
αγωνίζομαι	αγωνίζομαι verb<br>fight, contend<br>struggle<br>(sports) play, match
εξετάζω	εξετάζω verb<br>examine, investigate, question
εκτιμώ	εκτιμώ verb<br>be grateful for, like, appreciate
τακτικός	τακτικός adjective<br>usual, regular<br>frequent, regular<br>tactical<br>(mathematics) ordinal
μοιράζω	μοιράζω verb<br>divide, cut up<br>divide, share out
πρόσβαση	πρόσβαση noun<br>access, approach
ελπίζω	ελπίζω verb<br>(transitive) hope to, expect to<br>(intransitive) hope, have hope
πώληση	πώληση noun<br>(business) sale, sales
τάση	τάση noun<br>(electricity, physics) voltage, potential difference<br>tension, stretching<br>trend, inclination, tendency
πόσος	πόσος pronouninterrogative<br>how much? (questions of quantity and extent)<br>(plural) how many? (questions of quantity)
ακίνητος	ακίνητος adjective<br>immobile, fixed, static, immovable
ιατρικός	ιατρικός adjective<br>(medicine) medical
φοβούμαι	φοβούμαι verb<br>Alternative form of φοβάμαι (fovámai)
πεθαίνω	πεθαίνω verb<br>(most senses) die<br>(transitive) kill (either directly or indirectly)<br>(transitive, figuratively) kill, torture (cause suffering to)<br>(transitive, figuratively) pain, hurt, kill (cause pain to)
μνήμη	μνήμη noun<br>memory<br>remembrance<br>reminiscence
φόβος	φόβος noun<br>fear<br>apprehension, awe
κυβερνητικός	κυβερνητικός adjectivem<br>governmental
στρατηγική	στρατηγική noun<br>strategy
είσοδος	είσοδος noun<br>entrance, way in
συμπληρώνω	συμπληρώνω verb<br>fill, fill in, fill out<br>complete
δαπάνη	δαπάνη noun<br>(finance) expenditure, outlay<br>(finance) expenses, costs<br>(finance) payment<br>(figuratively) energy, time spent
ασφαλιστικός	ασφαλιστικός adjective<br>of or relating to insurance
λογική	λογική noun<br>logic
σχεδιάζω	σχεδιάζω verb<br>draw, design, plan
πόδι	πόδι noun<br>(anatomy) leg (portion of the lower human appendage from the thigh to the ankle)<br>(anatomy) foot<br>(figuratively) leg (of a piece of furniture)<br>(geography, figuratively) finger (of land)<br>(unit of measure) foot (unit of measure equal to twelve inches or one third of a yard)
σίγουρος	σίγουρος adjective<br>secure, certain
προπονητής	προπονητής noun<br>coach, trainer
απώλεια	απώλεια noun<br>loss (of an object)
σύνταξη	σύνταξη noun<br>(grammar, linguistics) syntax<br>writing, drafting, composition (the act of creating a document)<br>retirement (from work)<br>pension (money received after retirement)
κόκκινος	κόκκινος adjective<br>red (colour)<br>red (Communist)
έδαφος	έδαφος noun<br>ground<br>soil, land, earth<br>territory
αφορμή	αφορμή noun<br>cause, reason, motive, excuse, occasion (surface/trigger event or circumstance)<br>grudge, complaint (long-term animosity or ill will about something or someone)
προστατεύω	προστατεύω verb<br>protect, safeguard<br>give patronage to
μουσικός	μουσικός adjective<br>(music) musical, pertaining to music<br><br>μουσικός noun<br>(music) musician, composer, music teacher
αριστερός	αριστερός adjective<br>left, left-handed<br>(politics) left; left-wing
μακριά	μακριά adverb<br>far<br>afar<br>away<br><br>μακριά adjective<br>Nominative, accusative and vocative singular feminine form of μακρύς (makrýs).<br>Nominative, accusative and vocative plural neuter form of μακρύς (makrýs).
θεωρία	θεωρία nounf<br>theory<br>contemplation
υπογράφω	υπογράφω verb<br>sign, put signature to<br>(journalism) add byline
πεδίο	πεδίο noun<br>field, domain, range
καθαρός	καθαρός adjective<br>clean, pure, clear<br>(Judaism) kosher<br>(music) perfect (as in perfect fourth)
ενότητα	ενότητα nounf<br>(uncountable) unity, oneness<br>unit, section
αντιλαμβάνομαι	αντιλαμβάνομαι verb<br>realise, understand, see through
δυσκολία	δυσκολία noun<br>difficulty, inconvenience, trouble
αρχικά	αρχικά adjective<br>Nominative, accusative and vocative plural neuter form of αρχικός (archikós).<br><br>αρχικά adverb<br>at first<br><br>αρχικά nounn pl<br>initials
υφίσταμαι	υφίσταμαι verb<br>suffer, undergo<br>(only in imperfective tenses) exist
εκπομπή	εκπομπή noun<br>(radio, television) programme (UK), program (US)<br>(radio, television) broadcast<br>(physics) emission
ηγεσία	ηγεσία noun<br>leadership (qualities or position of a leader)
αιτία	αιτία noun<br>cause, reason
επίσκεψη	επίσκεψη noun<br>visit
επιστροφή	επιστροφή noun<br>(transport) return (ticket)<br>return (from somewhere)
επιστήμη	επιστήμη noun<br>(sciences) science
συνεχής	συνεχής adjective<br>constant, continuous, sustained
δικαιοσύνη	δικαιοσύνη noun<br>(law) justice, judicial system<br>(capitalised): Justice (the law personified)<br>justice (impartiality, fairness)
χάρη	χάρη noun<br>favour (UK), favor (US) (a deed in which help is voluntarily provided)<br>pardon (releasing order)<br>grace
τετάρτη	τετάρτη adjective<br>inflection of τέταρτος (tétartos):
διαδίκτυο	διαδίκτυο noun<br>(computing) internet, computer network
αρνητικός	αρνητικός adjective<br>(linguistics) negative<br>disapproving, undesirable
όπλο	όπλο noun<br>gun, rifle, etc<br>personal weapon, item of small arms<br>a top-level branch of the Greek army
θυμίζω	θυμίζω verb<br>remind
προϋπολογισμός	προϋπολογισμός noun<br>(finance) budget<br>(finance) estimate
δάνειο	δάνειο noun<br>(finance) loan<br>(linguistics, lexicography) loanword
σχήμα	σχήμα noun<br>figure, shape
βελτιώνω	βελτιώνω verb<br>improve, enhance, better
αίσθηση	αίσθηση noun<br>sensation, sense<br>perception<br>feeling<br>impression<br>notion
επικρατώ	επικρατώ verb<br>predominate, prevail
θεσμός	θεσμός noun<br>institution (society custom or practice)
ανεργία	ανεργία noun<br>unemployment
επιστολή	επιστολή noun<br>letter, written communication<br>(religion) epistle<br>missive
νομός	νομός noun<br>nome, department, county, prefecture
εξωτερικός	εξωτερικός adjective<br>outer, external<br>foreign<br>(medicine) outpatient
εισόδημα	εισόδημα noun<br>(finance) income, revenue<br>crop
πότε	πότε adverb<br>when
οδηγός	οδηγός noun<br>driver (of a vehicle)<br>guide, leader (person who shows the way)<br>guide (book, etc with instructions)<br>(computing, software) driver<br>driver, guide (mechanism used to force a specified move or motion)<br>(feminine) Girl Guide
αναδεικνύω	αναδεικνύω verb<br>reveal, show off, promote, emphasise<br>distinguish, appoint
γερμανικός	γερμανικός adjective<br>German, Germanic (related to the country, people or language of Germany)
φροντίζω	φροντίζω verb<br>care for, attend to
αναγκάζω	αναγκάζω verb<br>compel, coerce<br>obligate
όνειρο	όνειρο noun<br>dream (imaginary events seen while sleeping)
αρχικός	αρχικός adjective<br>initial, original
προτιμώ	προτιμώ verb<br>prefer, like more
περιοδικό	περιοδικό adjective<br>Accusative singular masculine form of περιοδικός (periodikós).<br>Nominative, accusative and vocative singular neuter form of περιοδικός (periodikós).<br><br>περιοδικό noun<br>magazine, periodical
γεμάτος	γεμάτος adjective<br>full of, loaded with, plump
